Author,Title,State,District,Ban Status,Year,AI_Theme,AI_Theme_Confidence,AI_Theme_Reason
"Gonzales, Kathryn","Trans+: Love, Sex, Romance, and Being You",Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Parr, Todd",The Family Book,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Jennings, Jazz",I am Jazz,Florida,Palm Beach County School District,Banned in libraries and classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Rosen, L. C.",Jack of Hearts (and other parts),Texas,Frisco Independent School District,Banned in libraries and classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Iowa,Ottumwa Community School District,Banned pending investigation,2021,Race / Racism,high,Native identity and racism are central.
"Bechdel, Alison",Fun Home: A Family Tragicomic,Michigan,Rochester Community Schools District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,Florida,Walton County School District,Banned pending investigation,2021,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Ahmed, Samira","Love, Hate & Other Filters",Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Picoult, Jodi",Nineteen Minutes,Florida,Jackson County School District,Banned in libraries and classrooms,2021,Violence / Trauma,high,School shooting violence is central.
"Witton, Hannah",Doing It!: Let's Talk About Sex,Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Mathieu, Jennifer",The Truth About Alice: A Novel,Florida,Jackson County School District,Banned in libraries and classrooms,2021,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Dawson, Juno",This Book Is Gay,Texas,Cypress-Fairbanks Independent School District,Banned in libraries and classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Andrews, Jesse",The Haters,Michigan,Rochester Community Schools District,Banned pending investigation,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Peters, Julie Anne",grl2grl,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Kobabe, Maia",Gender Queer: A Memoir,New York,Connetquot Central School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Curato, Mike",Flamer,Florida,Palm Beach County School District,Banned in libraries and classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Curry, Tyler",A Peacock Among Pigeons,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"James, E. L.",Fifty Shades of Grey (Fifty Shades Series),Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Twiss, Jill",A Day in the Life of Marlon Bundo,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Kushner, Elisabeth",The Purim Superhero,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Lauren, Christina",Beautiful Bastard (Beautiful Bastard Series),Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Reynolds, Jason",All American Boys,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Groff, Lauren",Fates and Furies,Florida,Walton County School District,Banned pending investigation,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Jennings, Jazz",Being Jazz: My Life as a (Transgender) Teen,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Telgemeier, Raina",Drama: A Graphic Novel,Florida,Jackson County School District,Banned in libraries and classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Roy, Arundhati",The God of Small Things,Florida,Walton County School District,Banned pending investigation,2021,Political / Social Issues,medium,"Caste, family, and social power drive the novel."
"Atwood, Margaret",The Handmaid's Tale,Michigan,Rochester Community Schools District,Banned pending investigation,2021,Political / Social Issues,high,Gendered state power is central.
"Johnson, Varian",The Parker Inheritance,North Carolina,Wilkes County School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Pérez, Ashley Hope",Out of Darkness,Texas,Clear Creek Independent School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Joseph, Frederick",The Black Friend: On Being a Better White Person,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Asher, Jay",Thirteen Reasons Why,Florida,Jackson County School District,Banned in libraries and classrooms,2021,Mental Health,high,Mental health struggles are central.
"Garber, Stephanie",Caraval (Caraval Series),Texas,Katy Independent School District,Banned in libraries,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Levy, Dana Alison",The Family Fletcher Takes Rock Island (Family Fletcher Series),Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,Same-sex parent family representation is central.
"Maas, Sarah J.",A Court of Mist and Fury (A Court of Thorns and Roses Series),Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Rowell, Rainbow",Eleanor & Park,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Hosseini, Khaled",The Kite Runner,Florida,Walton County School District,Banned pending investigation,2021,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Maas, Sarah J.",A Court of Mist and Fury (A Court of Thorns and Roses Series),Florida,Jackson County School District,Banned in libraries and classrooms,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Oregon,Medford School District 549C,Banned in libraries,2021,Political / Social Issues,high,Gendered state power is central.
"Thomas, Angie",The Hate U Give,Florida,Jackson County School District,Banned in libraries and classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Newman, Lesléa","Mommy, Mama, and Me",Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Pérez, Ashley Hope",Out of Darkness,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Mbue, Imbolo",How Beautiful We Were,South Dakota,Rapid City Area Schools,Banned in libraries and classrooms,2021,Political / Social Issues,high,"Power, rights, or social systems are central."
"Richardson, Justin",And Tango Makes Three,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Hosseini, Khaled",The Kite Runner,Florida,Santa Rosa County District Schools,Banned pending investigation,2021,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Lockhart, E.",Fly on the Wall: How One Girl Saw Everything,Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Thomas, Angie",The Hate U Give,Florida,Walton County School District,Banned pending investigation,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Lukoff, Kyle",Call Me Max (Max and Friends Series),Florida,Palm Beach County School District,Banned in libraries and classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Green, Laci","Sex Plus: Learning, Loving, and Enjoying Your Body",Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Curato, Mike",Flamer,Michigan,Rochester Community Schools District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Levithan, David",Two Boys Kissing,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Anderson, Laurie Halse",Speak,Mississippi,Madison County Schools,Banned in libraries,2021,Violence / Trauma,high,Sexual assault trauma is central.
"Bechdel, Alison",Fun Home: A Family Tragicomic,South Dakota,Rapid City Area Schools,Banned in libraries and classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Dawson, Juno",This Book Is Gay,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Hopkins, Ellen",Tricks (Tricks Series),Florida,Jackson County School District,Banned in libraries and classrooms,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Chbosky, Stephen",The Perks of Being a Wallflower,South Dakota,Rapid City Area Schools,Banned in libraries and classrooms,2021,Mental Health,high,Mental health struggles are central.
"Harris, Charlaine",Dead Until Dark (Sookie Stackhouse Series),Florida,Walton County School District,Banned pending investigation,2021,Violence / Trauma,high,"Violence, death, abuse, or trauma appears central."
"Silverberg, Cory","Sex is a Funny Word: A Book about Bodies, Feelings, and YOU",Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Eggers, Dave",The Circle (The Circle Series),South Dakota,Rapid City Area Schools,Banned in libraries and classrooms,2021,Political / Social Issues,high,"Power, rights, or social systems are central."
"Robertson, Carolyn",Two Dads: A Book About Adopton,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Morrison, Toni",The Bluest Eye,Florida,Walton County School District,Banned pending investigation,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Silvera, Adam",More Happy Than Not,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Draper, Sharon M.",Blended,Texas,Clear Creek Independent School District,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,Jackson County School District,Banned in libraries and classrooms,2021,Race / Racism,high,Native identity and racism are central.
"Jackson, Tiffany D.",Let Me Hear a Rhyme,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Morrison, Toni",The Bluest Eye,Florida,Jackson County School District,Banned in libraries and classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Duncan, Lois",Killing Mr. Griffin,Florida,Jackson County School District,Banned in libraries and classrooms,2021,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Morrison, Toni",Beloved,Florida,Jackson County School District,Banned in libraries and classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Lockhart, E.",Fly on the Wall: How One Girl Saw Everything,Florida,Santa Rosa County District Schools,Banned pending investigation,2021,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Duncan, Lois",Killing Mr. Griffin,Florida,Walton County School District,Banned pending investigation,2021,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Rosen, L. C.",Jack of Hearts (and other parts),Texas,Killeen Independent School District,Banned in libraries and classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"McCafferty, Megan",Sloppy Firsts (Jessica Darling Series),Florida,Jackson County School District,Banned in libraries and classrooms,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Asher, Jay",Thirteen Reasons Why,Florida,Walton County School District,Banned pending investigation,2021,Mental Health,high,Mental health struggles are central.
"Mathieu, Jennifer",The Truth About Alice: A Novel,Florida,Santa Rosa County District Schools,Banned pending investigation,2021,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Andrews, Jesse",Me and Earl and the Dying Girl,Pennsylvania,Elizabethtown Area School District,Banned pending investigation,2021,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Glines, Abbi",The Vincent Boys (The Vincent Boys Series),Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Willhoite, Michael",Daddy's Roommate,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Corinna, Heather",S.E.X.: The All-You-Need-To-Know Progressive Sexuality Guide to Get You Through High School and College,Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Telgemeier, Raina",Drama: A Graphic Novel,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Haskins, James",The Scottsboro Boys,Iowa,Keokuk Community School District,Banned in libraries and classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Pérez, Ashley Hope",Out of Darkness,Florida,Osceola County School District,Banned pending investigation,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Johnson, George M.",All Boys Aren't Blue,Michigan,Rochester Community Schools District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Tamaki, Mariko",This One Summer,Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Picoult, Jodi",Nineteen Minutes,Florida,Walton County School District,Banned pending investigation,2021,Violence / Trauma,high,School shooting violence is central.
"Evaristo, Bernardine","Girl, Woman, Other",South Dakota,Rapid City Area Schools,Banned in libraries and classrooms,2021,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Rooney, Sally",Normal People,Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Westerfeld, Scott",Uglies (Uglies Series),Mississippi,Madison County Schools,Banned in libraries,2021,Political / Social Issues,medium,Dystopia critiques beauty standards and social control.
"Yang, Gene Luen",American Born Chinese,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Hopkins, Ellen",Triangles,Texas,Frisco Independent School District,Banned in libraries and classrooms,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Jennings, Jazz",I am Jazz,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Thomas, Angie",The Hate U Give,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Moore, Wes",Discovering Wes Moore,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Stone, Nic",Dear Martin,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Arnold, Elana K.",What Girls Are Made Of,Texas,Cypress-Fairbanks Independent School District,Banned in libraries and classrooms,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Jackson, Tiffany D.",Monday's Not Coming,Mississippi,Madison County Schools,Banned in libraries,2021,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Katcher, Brian",Almost Perfect,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Melissa (George),Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Blume, Judy",Forever...,Florida,Jackson County School District,Banned in libraries and classrooms,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Austrian, J.J.",Worm Loves Worm,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Testa, Rylan Jay",The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Brown, Monica",Lola Levine and the Ballet Scheme (Lola Levine Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Evans, Shane W.",We March,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Baldacchino, Christine",Morris Micklewhite and the Tangerine Dress,Pennsylvania,Central York School District,Banned in classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Solomon, Akiba",How We Fight White Supremacy,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"McQuinn, Anna",Lola at the Library with Mommy (Lola Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Latina/Jewish child representation is central.
"Faruqi, Saadia",Yasmin the Zookeeper (Yasmin Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Pakistani American representation is central.
"Kissinger, Katie",All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Brown, Monica",Lola Levine Is Not Mean! (Lola Levine Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Latina/Jewish child representation is central.
"Pollack, Pam",Who Was Lucille Ball? (Who was...? Series),Pennsylvania,Central York School District,Banned in classrooms,2021,LGBTQ+ / Gender,medium,Women’s representation appears central.
"Gourley, Catherine",Who Was Maria Tallchief? (Who was...? Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Native woman biography centers cultural representation.
"Woodson, Jacqueline",Each Kindness,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Johnson, Varian",What Were the Negro Leagues? (What was...? Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Johnson, Kim",This Is My America,Pennsylvania,Pennridge School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Meltzer, Brad","I am Martin Luther King, Jr.",Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Kendi, Ibram X.",How to Be an Antiracist,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Wyeth, Sharon Dennis",Always my Dad,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Adeyoha, Koja","47,000 Beads",Pennsylvania,Central York School District,Banned in classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Stanborough, Rebecca J.",25 Women Who Ruled,Pennsylvania,Central York School District,Banned in classrooms,2021,LGBTQ+ / Gender,medium,Women’s representation appears central.
"Morris, Monique W.",Pushout: The Criminalization of Black Girls in Schools,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Weatherford, Carole Boston",Before John Was a Jazz Giant: A Song of John Coltrane,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Bunting, Eve",One Green Apple,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Dumas, Marti","Mission Star-Power (Jaden Toussaint, the Greatest Series)",Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Black child protagonist representation is central.
"Scanlon, Liz Garton",All the World,Pennsylvania,Central York School District,Banned in classrooms,2021,Political / Social Issues,low,"Social or political theme possible, but unclear."
"Perkins, Useni Eugene",Hey Black Child,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Faruqi, Saadia",Yasmin the Fashionista (Yasmin Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Pakistani American representation is central.
"Barnwell, Ysaye M.",No Mirrors in My Nana's House: Musical CD and Book,Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Willems, Mo",Because,Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Florence, Debbi Michiko","Jasmine Toguchi, Drummer Girl (Jasmine Toguchi Series)",Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Japanese American representation is central.
"Deutsch, Stacia",Team BFF: Race to the Finish! (Girls Who Code Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Political / Social Issues,medium,Girls-in-STEM theme suggests social inclusion.
"McDaniel, Breanna J.",Hands Up!,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
